Individual,length,otolith_age,scale,clock_age
23_CV_SFO_005,14.5,2+,,2
23_CV_SFO_012,17.5,3,3,3
23_CV_SFO_017,12,1,1,1
23_RCD_SFO_001,9.4,1,1,1
23_RCD_SFO_012,17.7,3-4,3,3
23_RCD_SFO_021,12.6,2,1+,2
23_WWD_SFO_003,19.5,2,2,2
23_WWD_SFO_015,16.4,2,2,2
23_WWD_SFO_021,11.7,1,1,1
23_CV_SFO_007,17.2,2,2,2
23_CV_SFO_014,19.1,2,2,2
23_CV_SFO_024,14.8,2,2,2
23_RCD_SFO_007,12.9,2,,2
23_RCD_SFO_015,16.1,3,2,3
23_RCD_SFO_023,9.3,1,1,1
23_WWD_SFO_004,20.9,3,3,3
23_WWD_SFO_016,16.7,1-2,1??,1
23_WWD_SFO_023,12,1,1,1
23_CV_SFO_010,10.2,1,1,1
23_CV_SFO_015,14.6,2,2,2
23_CV_SFO_025,8.6,1,1,1
23_RCD_SFO_009,18,3,3,3
23_RCD_SFO_017,13.2,2,2,2
23_RCD_SFO_024,9.6,1,1,1
23_WWD_SFO_008,22.1,3,3,3
23_WWD_SFO_018,16.5,2,2,2
23_WWD_SFO_024,10.6,1,1,1